Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_Barrow W Post W Rogers Arpt  N_AK_USA_TMY3_700260,71.32,-156.62,-9.0,10.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-40,-37.4,-39.5,0.1,-35.5,-37.9,0.1,-34,15.7,-19.4,14.5,-20.1,3.7,230,Cooling,7,6.3,14.4,11.4,12.2,10.1,10.1,8.5,11.8,13.9,10.2,12.1,8.6,10.1,5.1,180,10.4,7.8,13,8.8,7,11.4,7.4,6.4,9.6,33.7,14.1,29.6,12,26.2,10,45,Extremes,14,12.2,11.1,18.4,-42.5,19.4,2.6,2.8,-44.4,21.4,-45.9,23,-47.4,24.6,-49.3,26.7
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,8/10,8/16,Summer - Week Nearest Average Temperature For Period,Typical,6/22,6/28,Winter - Week Nearest Min Temperature For Period,Extreme,2/17,2/23,Winter - Week Nearest Average Temperature For Period,Typical,12/ 1,12/ 7,Autumn - Week Nearest Average Temperature For Period,Typical,10/20,10/26,Spring - Week Nearest Average Temperature For Period,Typical,4/19,4/25
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,-24.31,-25.53,-23.36,-19.97,-11.11,-4.27,0.34,1.74,-0.65,-5.96,-13.05,-19.64,2,,,,-19.81,-21.99,-21.54,-19.75,-13.82,-8.46,-4.17,-1.87,-2.36,-5.37,-10.26,-15.44,4,,,,-16.10,-18.33,-18.81,-18.14,-14.78,-11.17,-7.86,-5.56,-5.02,-6.32,-9.19,-12.70
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
Custom/User Format -- WMO#700260; NREL TMY Data Set (2008); Period of Record 1973-2005 (Generally)
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1988/1/15,06:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.3,-26.1,78,100700,0,0,157,0,0,0,0,0,0,0,50,7.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,07:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.9,-26.7,78,100800,0,0,155,0,0,0,0,0,0,0,60,6.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,08:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.3,-26.1,78,100800,0,0,157,0,0,0,0,0,0,0,60,7.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,09:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.9,-26.1,82,100800,0,0,155,0,0,0,0,0,0,0,60,6.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.3,-26.1,78,100800,0,0,157,0,0,0,0,0,0,0,60,7.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.3,-26.1,78,100800,0,0,157,0,0,0,0,0,0,0,60,7.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.3,-26.1,78,100900,0,0,157,0,0,0,0,0,0,0,50,6.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-23.9,-26.7,78,100900,0,0,155,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-24.4,-27.2,78,100900,0,0,153,0,0,0,0,0,0,0,50,6.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-24.4,-27.8,74,100900,0,0,153,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.0,-27.8,78,100900,0,0,152,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.3,78,100800,0,0,150,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,18:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.0,-28.3,74,100800,0,0,151,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,19:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.3,78,100800,0,0,150,0,0,0,0,0,0,0,50,5.2,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,20:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.3,78,100800,0,0,150,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,21:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.3,78,100800,0,0,150,0,0,0,0,0,0,0,60,5.7,0,0,11.3,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/15,22:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,100800,0,0,149,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/15,23:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,100800,0,0,149,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/15,24:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.0,-27.8,78,100900,0,0,152,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,01:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.3,78,100900,0,0,150,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,02:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.0,-27.8,78,100900,0,0,152,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,03:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,100900,0,0,149,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,04:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,100900,0,0,148,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,05:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-28.9,78,100800,0,0,148,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,06:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,100800,0,0,149,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,07:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.3,78,100800,0,0,150,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,08:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,100800,0,0,149,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,09:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-28.9,78,100800,0,0,148,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,100800,0,0,148,0,0,0,0,0,0,0,60,6.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,100900,0,0,149,0,0,0,0,0,0,0,60,6.2,0,0,4.8,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,100900,0,0,148,0,0,0,0,0,0,0,50,5.7,0,0,8.0,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-30.0,74,100900,0,0,146,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,100900,0,0,144,0,0,0,0,0,0,0,40,5.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-30.6,77,100900,0,0,143,0,0,0,0,0,0,0,50,5.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-29.4,77,100900,0,0,146,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,100900,0,0,148,0,0,0,0,0,0,0,60,6.2,0,0,1.6,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,18:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-30.0,74,100900,0,0,146,0,0,0,0,0,0,0,60,6.2,0,0,4.8,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,19:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,100900,0,0,144,0,0,0,0,0,0,0,60,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,20:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-30.6,77,101000,0,0,143,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,21:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101000,0,0,144,0,0,0,0,0,0,0,50,6.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,22:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101000,0,0,144,0,0,0,0,0,0,0,50,7.2,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,23:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101000,0,0,144,0,0,0,0,0,0,0,60,6.7,0,0,11.3,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/16,24:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101000,0,0,144,0,0,0,0,0,0,0,50,6.2,0,0,4.8,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/17,01:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-30.6,77,101100,0,0,143,0,0,0,0,0,0,0,50,6.2,0,0,4.8,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/17,02:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101100,0,0,143,0,0,0,0,0,0,0,50,6.2,0,0,6.4,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/17,03:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101100,0,0,144,0,0,0,0,0,0,0,60,6.2,0,0,6.4,77777,9,'999999999,10,0.0000,0,88,999.000,999.0,99.0
1988/1/17,04:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101100,0,0,143,0,0,0,0,0,0,0,60,6.2,0,0,6.4,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,05:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-30.6,77,101100,0,0,143,0,0,0,0,0,0,0,60,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,06:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-30.6,77,101200,0,0,143,0,0,0,0,0,0,0,70,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,07:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-28.3,-31.1,77,101200,0,0,142,0,0,0,0,0,0,0,60,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,08:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101200,0,0,144,0,0,0,0,0,0,0,60,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,09:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101200,0,0,144,0,0,0,0,0,0,0,60,7.2,0,0,4.8,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101200,0,0,144,0,0,0,0,0,0,0,60,6.7,0,0,4.8,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101200,0,0,144,0,0,0,0,0,0,0,60,6.2,0,0,6.4,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101300,0,0,143,0,0,0,0,0,0,0,70,6.2,0,0,6.4,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-28.3,-31.7,73,101300,0,0,141,0,0,0,0,0,0,0,70,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-28.3,-31.7,73,101200,0,0,141,0,0,0,0,0,0,0,60,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-29.4,77,101200,0,0,146,0,0,0,0,0,0,0,70,8.2,0,0,4.8,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,70,7.7,0,0,4.8,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,80,7.7,0,0,8.0,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,18:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,70,6.7,0,0,8.0,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,19:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,70,7.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,20:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,70,7.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,21:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-25.6,-28.9,74,101200,0,0,149,0,0,0,0,0,0,0,70,8.2,0,0,9.7,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,22:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-28.9,78,101200,0,0,148,0,0,0,0,0,0,0,70,8.2,0,0,9.7,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,23:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-28.9,78,101200,0,0,148,0,0,0,0,0,0,0,70,8.2,0,0,9.7,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/17,24:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,70,7.2,0,0,9.7,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,01:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101200,0,0,148,0,0,0,0,0,0,0,70,7.2,0,0,9.7,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,02:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-29.4,77,101200,0,0,146,0,0,0,0,0,0,0,80,7.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,03:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-29.4,77,101200,0,0,146,0,0,0,0,0,0,0,70,7.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,04:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.0,77,101200,0,0,145,0,0,0,0,0,0,0,70,7.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,05:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101200,0,0,144,0,0,0,0,0,0,0,80,7.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,06:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-30.6,77,101100,0,0,143,0,0,0,0,0,0,0,80,6.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,07:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101100,0,0,143,0,0,0,0,0,0,0,80,7.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,08:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-28.3,-31.1,77,101100,0,0,142,0,0,0,0,0,0,0,80,6.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,09:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101100,0,0,143,0,0,0,0,0,0,0,80,7.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101100,0,0,143,0,0,0,0,0,0,0,80,7.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.8,-31.1,73,101100,0,0,143,0,0,0,0,0,0,0,70,8.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101100,0,0,144,0,0,0,0,0,0,0,80,8.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-27.2,-30.6,73,101100,0,0,144,0,0,0,0,0,0,0,90,7.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.7,-30.0,74,101100,0,0,146,0,0,0,0,0,0,0,80,8.8,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101000,0,0,148,0,0,0,0,0,0,0,90,8.8,0,0,4.8,77777,9,'999999999,20,0.0000,0,88,999.000,999.0,99.0
1988/1/18,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-29.4,74,101000,0,0,148,0,0,0,0,0,0,0,80,7.7,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
1988/1/18,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9*_*9*9,-26.1,-28.9,78,101000,0,0,148,0,0,0,0,0,0,0,90,7.2,0,0,11.3,77777,9,'999999999,30,0.0000,0,88,999.000,999.0,99.0
